"","GSM158714","GSM158725","GSM158742","GSM158791","GSM158803","GSM158830","GSM158839","GSM158877","GSM158888","GSM158900","GSM158904","GSM158914","GSM158918","GSM158919","GSM158922","GSM158923","GSM158931","GSM158945","GSM158959","GSM158993","GSM158999","GSM159006","GSM159012","GSM159026","GSM159031","GSM159059","GSM159061","GSM159084","GSM159124","GSM159137","GSM159149","GSM159161","GSM159166","GSM158728","GSM158773","GSM158811","GSM158812","GSM158813","GSM158841","GSM158849","GSM158851","GSM158853","GSM158859","GSM158860","GSM158863","GSM158885","GSM158890","GSM158920","GSM158921","GSM158926","GSM159111","GSM159142","GSM159143","GSM159147","GSM158712","GSM158716","GSM158719","GSM158721","GSM158722","GSM158750","GSM158752","GSM158781","GSM158799","GSM158810","GSM158814","GSM158861","GSM158873","GSM158878","GSM158899","GSM158905","GSM158906","GSM158911","GSM158912","GSM158925","GSM158927","GSM158966","GSM158970","GSM158982","GSM158984","GSM158985","GSM159005","GSM159032","GSM159037","GSM159050","GSM159068","GSM159081","GSM159097","GSM159105","GSM159110"
"COX1",12.93298979,12.89684324,12.40431668,12.93354313,12.88313965,13.01349715,13.06285566,12.91798737,12.55365329,13.24662185,13.46990886,13.2666548,12.67288937,12.17601727,12.34326901,12.58453977,12.62691819,12.58160075,13.01347971,13.22534302,13.23388926,13.24723032,13.12413747,12.7349001,13.21947107,12.93400409,12.96116026,13.18704271,13.46077583,13.0306499,13.4763032,12.77984245,13.05027381,12.92044591,12.75440736,13.02401418,13.26455989,13.08253162,13.30543479,13.43764805,13.68567959,13.4324636,12.90052722,13.00849865,13.12297355,13.14601173,12.62436139,12.55858813,12.61691636,13.66983731,13.15423269,12.51636486,12.84319481,13.21903235,12.86689253,13.06054395,12.85112436,13.26345994,13.80091001,12.85141721,12.66804287,12.52737926,13.02252387,12.72067179,12.70880369,13.11025491,13.04234338,12.40346479,12.75674394,12.77497233,12.34176898,12.78994113,13.36673201,13.16617878,12.99719713,12.66102093,13.44579084,12.78125725,13.94477611,13.62506953,13.24204271,13.23038076,13.19454142,13.14196342,13.13596574,13.527929,13.49399301,13.24871331,12.99283215
"COX2",12.92141327,12.8372337,12.53483784,13.04950825,12.76292181,12.83733227,12.97484475,12.89741062,12.55298123,13.21753367,13.34756601,13.24766054,12.65120869,12.13926355,12.32673844,12.54136286,12.57307909,12.53055265,12.98550399,13.24253403,13.27025152,13.08452606,13.25019477,12.66890714,13.24132777,12.90342999,12.92412587,13.08015131,13.40854204,12.91023047,13.42421879,12.67394944,13.11170624,12.87492373,12.75636868,13.05141289,13.27385387,13.08354581,13.28831818,13.46717247,13.58134183,13.47484667,12.9087116,12.91073641,13.15851502,12.98589529,12.5486052,12.42266927,12.66086499,13.4451054,13.22445395,12.49498055,12.7315736,13.11206477,12.89068228,12.98158512,12.81251828,13.26978416,13.66593543,12.88205072,12.69146001,12.50759645,13.08155001,12.74819285,12.62908336,13.14497682,12.94410807,12.33650656,12.69019445,12.78346893,12.41560974,12.92688896,13.41373369,13.05838076,12.87513498,12.80570357,13.4263827,12.62312703,13.87798384,13.65862432,13.19827621,13.30339548,13.21235959,13.10204131,13.0437792,13.42240647,13.48840505,13.19121347,12.9476552
"ND4",12.86015583,12.80318263,12.37756303,12.96097933,12.75175325,12.97181296,12.91498302,12.8571257,12.51427023,13.20506011,13.47138309,13.12654316,12.55072274,12.04998465,12.21243559,12.54083032,12.57194221,12.54689446,12.99256664,13.22274963,13.16374401,13.19277055,13.05144688,12.56503066,13.14177188,12.9190309,12.97242342,13.07228337,13.45580239,12.88722062,13.3835423,12.63875266,13.01548475,12.85747565,12.6079082,13.01059804,13.15938258,12.84470576,13.25476291,13.46096776,13.64331508,13.26210953,12.8683017,12.89776984,13.08681627,13.05975004,12.57255813,12.49172786,12.63135897,13.54524203,13.10612123,12.3950253,12.80035393,13.04782259,12.84782079,12.91559933,12.65883628,13.19159904,13.7516382,12.81456244,12.65210551,12.43918158,12.96087076,12.60853206,12.56255249,13.05528244,12.93695073,12.28355142,12.71297831,12.74386667,12.3718583,12.72491881,13.25675417,12.96890074,12.82680666,12.52542293,13.28334885,12.59684199,13.78808615,13.45732957,13.10530289,13.22058994,13.11770803,13.1074623,12.91206599,13.41736468,13.33555784,13.15252253,12.90222435
"RPL41",12.28759696,12.24237028,12.25003189,12.62076967,12.67569246,12.67774166,12.18248747,12.54964029,11.86805085,12.75146037,12.64311211,12.99113207,12.35309168,12.10338617,12.27696767,12.46612746,12.10302548,12.41063684,12.60943271,12.73921101,12.61742155,12.62792141,12.50729912,12.08623576,12.85188565,12.51357957,12.10724977,12.90465344,12.90957437,12.57915091,12.88594417,12.26494101,12.85192468,12.10610487,11.50605959,12.32429308,12.46245115,11.98829414,12.29539587,12.63920503,12.80681139,12.2299904,12.40205275,12.69152544,11.94339393,12.54595389,12.31035716,12.42547819,12.66977089,12.16973714,12.67956807,11.91199111,12.44930343,13.07756681,12.31633811,12.03300996,12.12331312,12.42306337,12.37275626,12.26185986,12.22034809,12.11296071,12.23529625,12.46814035,11.99021035,12.28331991,12.65624608,12.16050175,11.89026428,12.17754412,12.38734423,12.56183685,12.26775231,12.14089366,11.87620996,12.43340288,12.69714133,12.61482485,12.69474963,12.85558877,12.79660749,13.12315143,12.86544331,12.75545094,12.5609776,12.76069916,13.20129692,12.50392509,12.20738044
"RPS2",12.70173964,12.6490765,12.37395266,12.87473166,12.76725339,12.91290804,12.74955522,12.76292181,12.37601683,13.10051451,13.33698069,13.09381367,12.48889454,11.99290294,12.14990586,12.43842801,12.39159267,12.59525748,12.93934046,13.15312448,13.05707791,13.07260159,13.00737773,12.38432508,13.11920053,12.76341987,12.64342783,13.14465824,13.27868176,12.84362667,13.28446266,12.62564036,12.94975377,12.76325387,12.43796009,12.82845387,13.0327001,12.5643877,12.94222124,13.25850715,13.36075108,12.88441858,12.8166237,12.83646464,12.69137277,12.96211879,12.60811618,12.32437747,12.56326779,13.2108083,13.08299724,12.37745457,12.63551408,13.05453649,12.72592005,12.70273545,12.70561079,13.02212503,13.45858604,12.65680471,12.52720819,12.33859712,12.86702771,12.58744938,12.43658142,12.91302028,12.86679596,12.28039381,12.39831616,12.56957084,12.33251215,12.75014169,12.95254106,12.9070033,12.73208261,12.43076615,13.31950278,12.5707333,13.33532056,13.33668786,13.09055906,13.13106918,13.08500764,13.07481046,12.81169579,13.19520301,13.29932251,13.07785049,12.77815929
"RPL23A",12.45786819,12.25859548,12.21495653,12.79020593,12.63639805,12.64851488,12.40197278,12.535567,12.04015271,12.80616695,13.01833929,12.94960788,12.09585851,11.8917837,12.06713181,12.24043359,12.2279468,12.40907266,12.70789832,12.99224797,12.68967045,12.88653491,12.76429108,12.30163909,12.99219485,12.79849205,12.50819093,12.92479395,13.06255214,12.74495994,12.95933185,12.40984171,12.88315875,12.25732891,12.21273955,12.37786122,12.68176549,12.07507797,12.35933777,12.72789919,12.84417613,12.48829206,12.26253534,12.39371221,12.09796627,12.73428623,12.14261766,12.06167496,12.39636396,12.55760729,12.86640962,11.99947157,12.56662491,12.8300794,12.39266625,12.35958486,12.444109,12.69255012,12.9219153,12.28912553,12.24519615,12.28779894,12.45714999,12.47530279,12.23472763,12.54522996,12.74580035,12.23176119,12.2039597,12.40519466,12.21871458,12.63447075,12.67895219,12.50526573,12.37387111,12.44089512,12.91606605,12.47332524,12.97792384,12.85619206,13.03101191,13.14437146,12.94355876,13.02486263,12.80409068,12.89094822,13.2329455,12.8023548,12.5082157
"TPT1",12.10148331,11.67154107,12.02558947,12.39124359,12.45368219,12.2313712,12.49272947,12.37215768,12.11686376,12.73299413,12.80998914,12.78702509,12.22788665,11.74869603,11.94112099,12.17866485,12.17648485,12.02773325,12.3088225,12.69102374,12.62641632,12.50409895,12.73616936,12.24682965,12.73792332,12.47152281,12.41729874,12.67899619,12.88628721,12.51904647,12.87213617,12.03768422,12.41909114,12.0758468,12.02590086,12.45216401,12.62659884,11.77437527,12.5780896,12.41808978,12.6464237,12.41645449,12.32561465,12.14140469,12.1271883,12.55050632,12.20086796,12.15560884,12.36271096,12.63179093,12.73365092,12.20991023,12.52343944,12.91464674,12.30870876,12.26728414,12.19780029,12.6379833,12.85012822,12.2043266,12.24804615,11.98377744,12.24180444,12.2652048,12.14367019,11.56995052,12.39062577,11.85089004,12.35848637,12.13974319,11.99230109,12.36079223,12.24028451,12.42877889,11.89011225,12.30552029,12.703298,12.33088888,12.70156638,12.69396603,12.6489642,12.89790216,12.40851551,12.30261037,12.45984142,12.88434226,12.81532325,12.49954696,12.41137858
"RPL39",12.1359978,12.00418535,12.08849013,12.43178486,12.66251262,12.68461714,12.07065766,12.17816685,11.75309136,12.84058125,12.62541206,12.71312871,12.23879283,12.0146482,12.21410659,12.3936854,12.01052811,12.28065479,12.47131958,12.49862486,12.45850915,12.52552081,12.3254179,11.9686308,12.70353593,12.4234311,11.7084373,12.62589145,12.67789578,12.36708708,12.47464391,12.41023933,12.7803142,12.08377847,12.04906574,12.33240025,12.21810911,11.58039991,12.07464324,12.49350524,12.51175265,12.07925143,12.33128087,12.44532529,12.00228762,12.41166987,12.25222191,12.29295426,12.56159822,12.02423933,12.67114297,11.77955522,12.38000102,12.98944772,12.34412943,11.89689998,12.1515557,12.42421879,12.01572865,12.15990286,12.31842983,12.04343747,12.06760242,12.42998203,11.93946902,12.1661003,12.60151546,12.19121347,11.98203098,12.15057237,12.30440837,12.31955923,12.2103365,12.21701861,12.17741954,12.41288735,12.50011985,12.49602986,12.80354592,12.85902999,12.67972199,13.02287059,12.65885859,12.54978467,12.50826522,12.67844609,12.93260232,12.09533108,12.15794688
"ND2",12.76952795,12.5914756,12.15573532,12.67003655,12.64628869,12.82605188,12.83851456,12.69744545,12.38464886,13.02186486,13.25978739,12.97854959,12.41990752,11.97305156,12.12937962,12.49984589,12.38901283,12.38755964,12.68352102,12.94308253,12.90762303,12.98808107,12.92198966,12.46370317,13.01555444,12.5998896,12.65604492,12.82839437,13.04986556,12.79352203,13.14741165,12.53913457,12.89409775,12.60077244,12.44935502,12.86627437,13.01995553,12.80417136,13.04307856,13.17039455,13.43684165,13.16729269,12.59245704,12.57672053,12.85902999,12.84362667,12.4187223,12.31356331,12.53323238,13.38726344,12.95159435,12.21362068,12.48235421,12.90694695,12.682841,12.79563384,12.57952808,13.03340579,13.54936354,12.5932277,12.48005807,12.31310978,12.79293261,12.46770743,12.44752238,12.87505817,12.77351014,12.08510726,12.580659,12.68178745,12.24943942,12.61620421,12.94211126,12.85397226,12.75901431,12.50427278,13.11478345,12.42280065,13.56406611,13.31876874,12.97987173,13.09880522,12.93787033,12.81678368,12.81016994,13.22410722,13.12891263,12.86283105,12.68781306
"RPS18",11.92277021,12.01712158,12.06514682,12.53666005,12.52862504,12.60873995,12.19497226,12.22167774,11.90440883,12.53949811,12.58254189,12.80247598,12.04872526,11.91569268,12.05460432,12.28476628,11.94408976,12.28603788,12.57310276,12.76040809,12.69019445,12.6427512,12.76808092,12.00151375,12.86687321,12.2961419,11.88164933,12.84505875,12.76321237,12.53600432,12.87290569,12.17470726,12.69056551,12.21325614,11.77449882,12.25405424,12.25029842,11.66369152,12.11488103,12.45622606,12.58782439,12.02257588,12.19041115,12.42644823,11.66515823,12.17748183,12.24955793,12.13378441,12.39540025,12.09113782,12.81878187,11.81822266,12.37014248,12.89227717,12.26438395,11.96726229,12.30126754,12.46132596,12.18012672,12.28785664,12.20713637,11.91389917,12.15636754,12.35132576,11.8159036,12.25953732,12.4310013,12.09120395,11.8419181,12.11783787,12.04090613,12.2317012,12.20288906,12.26021389,11.97602704,12.34196352,12.81095314,12.37712917,12.40242588,12.62102161,12.68658807,13.0394503,12.74091913,12.72077865,12.42505851,12.87153951,13.07499438,12.51459078,12.4016262
