"","GSM445939","GSM445940","GSM445952","GSM445965","GSM445966","GSM445995","GSM446005","GSM446015","GSM446019","GSM446020","GSM446030","GSM446032","GSM446033","GSM446035","GSM446036","GSM446037","GSM446038","GSM446039","GSM446047","GSM446056","GSM446088","GSM446102","GSM446119","GSM446120","GSM446127","GSM446143","GSM446147","GSM445923","GSM446023","GSM446027","GSM446058","GSM446059","GSM446096","GSM446099","GSM446115","GSM446117","GSM446118","GSM446124","GSM446130","GSM446137","GSM446140","GSM446142","GSM446145","GSM446148","GSM446149","GSM446151","GSM445922","GSM445935","GSM445938","GSM445943","GSM445950","GSM445959","GSM445964","GSM445970","GSM445972","GSM445983","GSM445989","GSM445990","GSM446010","GSM446017","GSM446025","GSM446034","GSM446051","GSM446054","GSM446055","GSM446057","GSM446066","GSM446067","GSM446123","GSM446125","GSM446128","GSM446129","GSM446139","GSM446146"
"COX1",14.17418454,14.51904815,13.81798964,14.18059094,14.77916131,14.34504673,14.68766002,14.7869009,14.75742069,14.15829592,14.05183969,14.51936591,14.57491794,14.56435865,14.25090113,14.64105006,14.84002119,14.49809315,14.2437854,14.16335977,14.56410542,14.23138391,14.05944048,14.26172023,13.95814782,14.04390798,13.77488064,14.28409491,14.17029206,13.90559672,13.90185347,13.92562582,14.24282737,14.56687837,14.38146004,14.60909708,14.25631506,14.12018218,14.02722878,13.63311872,14.4105402,12.3691359,13.48406616,13.71840961,14.29324571,13.87254907,14.41359015,14.43124656,14.24316165,14.29281471,14.24623603,14.36980866,14.3736409,14.25006864,14.81163553,14.57901609,14.87199267,14.22738616,14.77555013,14.96759754,12.77805763,14.3772773,14.46360869,14.47124636,14.36070805,14.36177428,14.32115713,14.28130003,14.11472105,14.16311874,13.96239169,13.94820617,13.56472965,13.96006307
"COX2",13.85444544,14.18549145,13.44740182,13.66466257,14.42443205,13.90447611,14.23707719,13.99310929,14.04329005,13.41667443,13.42329664,13.75706541,13.7395639,14.11767777,13.44585157,13.63540718,14.20401118,13.97026386,13.72592776,13.71288773,14.09076944,13.93314504,13.72352386,13.86042489,13.43275122,13.45484296,13.40819095,13.59635221,13.81731564,13.58912059,13.60704683,13.67401847,13.93563839,14.20417091,14.06076852,14.14925599,13.83385156,13.63089616,13.56650606,13.24381938,14.11853909,12.08555685,13.10714407,13.48890176,14.02307177,13.63761411,13.74625794,13.89629931,13.87107397,13.40551069,13.61496705,13.95410503,13.89028142,13.81883114,14.28764222,14.1895451,14.30046517,13.7142726,14.11426115,14.25840672,12.22945139,13.78465955,14.1430821,13.96457971,13.82486431,13.91848739,13.73571775,13.83626498,13.68218998,13.91015702,13.47661197,13.87006739,13.28617635,13.57125306
"ND4",13.84022202,14.48566444,13.56124017,13.88167517,14.57395265,14.10811309,14.58138988,14.25192644,14.26162906,13.80955738,13.76462007,13.9884493,13.89719021,14.36643048,13.71009295,13.84392555,14.35510382,14.04226587,14.02772758,13.90431001,14.24790441,14.10535247,13.98619301,14.12922299,13.6950282,13.76574302,13.5823615,14.02033685,14.06345376,13.79169835,13.73023796,13.77182816,14.18337145,14.49094338,14.2604118,14.36563298,14.1453717,13.86275494,14.01170388,13.41873366,14.29873257,12.32489775,13.36555524,13.69696394,14.26206456,13.83588532,13.88233794,14.22092835,14.060077,13.71877756,13.89796557,14.12786855,14.06085378,13.96987263,14.54340271,14.4650087,14.44577208,13.82306391,14.3237342,14.52860545,12.16477784,13.95943319,14.38984435,14.27877153,13.98332465,14.13972902,14.00501218,14.06052021,13.95414038,14.19376105,13.68440447,14.12198152,13.47805818,13.7816038
"RPL41",14.42188042,13.44848817,14.10359684,14.10462252,14.2929066,13.99552468,14.10294538,14.57185056,14.5623457,14.00775786,14.1347568,14.59477397,14.50684709,14.25567396,14.50246121,14.77090086,14.56467061,14.19310411,14.19624043,14.22818464,14.50640849,14.08644101,13.5479551,13.70460011,13.61037357,13.70280391,13.26331619,13.8906415,13.48505139,13.66376336,13.14525041,13.52185187,13.4803369,14.0107015,13.68764486,14.08717052,13.61731739,13.70234355,13.6388105,13.1099601,13.81578485,12.13904598,13.08317639,13.43125319,13.8299438,12.66685271,14.38649367,14.27314989,14.11863904,14.28050282,14.0347818,14.10511396,14.21249457,14.13775085,14.8838476,14.14816461,14.57836051,14.09322507,14.35072093,14.76210919,13.08732677,14.32200233,14.06460497,14.37334803,14.32834129,14.28470384,13.87675292,13.85765961,13.58667671,13.84374361,13.66895689,14.00291196,13.42961036,13.65098666
"RPS2",14.13848635,13.37376681,13.80910977,13.82949583,13.89701401,13.71869417,13.96969747,14.26437855,14.13514598,13.74577787,13.96881093,14.34885679,14.2533992,13.99059696,14.25102371,14.51432499,14.33979397,14.03011918,13.89043653,13.7906671,14.02806738,13.74568484,13.51418944,13.68915508,13.4657775,13.52928414,12.95161803,13.57632389,13.31665247,13.45199628,12.84288523,13.15360847,13.30445523,13.80663088,13.61883595,13.92706136,13.50326052,13.56373008,13.50379353,13.00827296,13.53853214,11.99909053,12.88998042,13.1458857,13.54070042,12.45870421,14.06126834,14.03373232,13.85567009,13.84798642,13.83140824,13.88329797,13.97234434,13.86457412,14.38047918,13.77161415,14.31092929,13.82724077,14.12180104,14.41980869,12.9729787,13.97333972,13.79959396,14.02945381,14.03230387,14.02452299,13.64189811,13.52817015,13.54934054,13.76387363,13.46715196,13.89818745,13.38499431,13.61986793
"RPL23A",13.98515429,13.05779583,13.80772599,13.7652435,13.50680141,13.46191984,13.62861138,14.04712008,13.80602026,13.5260356,13.88196272,14.17716362,14.07666657,13.88484164,13.9941707,14.38325537,13.88505225,13.8652156,13.86767325,13.81665549,14.0019871,13.5925199,13.24150148,13.35141419,13.31307859,13.30588492,12.67685779,13.06735128,12.93245636,13.18919913,12.44846612,12.94149542,12.99852938,13.34697481,13.2337621,13.6683195,13.14132908,13.21859733,13.20284105,12.62044727,13.19098362,11.68388076,12.68691905,12.7167625,13.27581471,12.1125567,13.93234015,13.82846662,13.61913267,13.89881744,13.58111923,13.73391334,13.7422191,13.73415727,14.20891631,13.74318829,14.28238743,13.74011835,13.95284779,14.23533703,12.90326477,13.87968648,13.66990486,13.94573663,14.04537896,13.97225017,13.62109327,13.38160749,13.25709053,13.50222653,13.35043123,13.64850119,13.08629009,13.47569903
"TPT1",14.20156217,13.44878037,13.89333274,13.91240431,14.19970618,14.04532665,14.21416764,14.47913021,14.50815815,13.88003736,14.01654469,14.31710014,14.43717178,14.31401935,14.32509819,14.59296272,14.63872731,14.19369437,14.11251709,14.11675411,14.34370074,13.97162245,13.54224693,13.85477409,13.58136768,13.71823982,13.35893051,14.08745327,13.62415116,13.56510927,13.45230348,13.66055638,13.81325678,14.08446646,13.81294489,14.20856227,13.70803712,13.80194409,13.476835,13.22717728,13.80395228,12.04905705,13.08193046,13.47712063,13.88790512,13.00889225,13.96123354,13.85056323,13.8330607,13.96129893,13.78545508,13.88208117,14.12895627,13.91602807,14.48895073,14.26491708,14.22270767,14.00614411,14.13143439,14.47965791,12.76571909,14.14543126,14.06532368,14.18853189,14.12380687,14.12385288,13.8823461,13.81236214,13.5671138,13.75754693,13.55459224,13.90504806,13.29670611,13.56133577
"RPL39",14.13318268,13.10265787,13.6928306,13.82170882,14.1705206,13.82677093,14.06952098,14.39230984,14.30146782,13.7313433,13.96496581,14.30254213,14.37832308,14.14384448,14.21139238,14.53111704,14.46961437,13.96092443,13.98384135,14.01406461,14.27455398,13.88397439,13.39202776,13.71994471,13.40288768,13.49631683,13.16335617,13.79283264,13.45676628,13.42095588,13.23209784,13.48070245,13.58820796,13.92183972,13.54545043,14.02641851,13.53661143,13.57010372,13.45636522,13.00523119,13.73509668,11.7668942,12.89631985,13.27893851,13.62003333,12.64609451,14.05500921,13.79091798,13.82019406,13.84039781,13.6787768,13.76705532,14.13432424,13.92634207,14.53168458,14.01248976,14.34217817,13.92389598,14.20499341,14.48755037,12.76150373,14.13935857,13.97057634,14.13102071,14.06773453,14.05089479,13.79265602,13.70801497,13.44450442,13.68766734,13.48582366,13.76918037,13.18206966,13.52757038
"ND2",11.80445056,14.12664724,12.32688432,13.3365085,14.1230073,13.88538617,14.23945347,13.83564901,13.68570529,13.4025025,13.23647143,13.47494892,13.45700931,14.22204675,12.72088466,12.96241755,13.99737127,13.54472554,13.83508028,13.64702302,13.68929822,13.63004497,13.78052309,13.96745495,13.57388397,13.56081714,13.44160264,13.02204366,13.81437029,13.4463927,13.52602441,13.47613459,13.99936564,14.23215828,14.01954062,14.15199993,13.96051175,13.61212609,13.40659296,13.13399284,14.02919656,11.96911366,13.04434018,13.3233086,14.00289072,13.60304635,13.17680763,13.54793698,13.54341466,13.19364587,13.15126984,13.43493446,13.46989494,13.19066345,14.17046163,14.06898433,13.78233167,13.75174051,13.9347995,13.88444589,11.7053138,13.69935672,14.15584443,13.9752179,13.63623688,13.79526859,13.90479994,13.8654846,13.73706003,13.86385734,13.44275178,13.73432292,13.19179622,13.56467035
"RPS18",14.19509143,13.22455285,13.87896506,13.9155682,13.96721828,13.81351394,14.10932956,14.39276094,14.30958807,13.83177874,14.02795719,14.318726,14.31341559,14.1913672,14.10623667,14.56943573,14.31610447,14.07115958,14.03751124,13.95071033,14.22828136,13.76626112,13.58841862,13.72704363,13.52785756,13.57635593,12.96611724,13.55097627,13.37287191,13.50996643,12.98586147,13.27808678,13.36416142,13.89417337,13.57648538,13.99763946,13.52360381,13.61756771,13.32329861,12.94943799,13.50303743,12.00595033,12.86319154,13.16813158,13.6663444,12.29041092,14.00401319,14.18401485,13.87195325,13.9017978,13.68140953,13.96159768,14.13516752,13.83580535,14.52936065,13.97851798,14.07979242,14.00035014,14.0233288,14.52903376,12.81828638,14.13195654,13.93431767,14.219557,14.25687461,14.13891378,13.8203023,13.6849833,13.62654855,13.95652719,13.59571743,14.05154508,13.38191599,13.55947119
