"","GSM330464","GSM330465","GSM330466","GSM330467","GSM330468","GSM330469","GSM330470","GSM330471","GSM330472","GSM330473","GSM330474","GSM330475","GSM330476","GSM330477","GSM330478","GSM330479","GSM330480","GSM330481","GSM330482","GSM330483","GSM330484","GSM330485","GSM330486","GSM330487","GSM330488","GSM330489","GSM330490","GSM330491","GSM330427","GSM330428","GSM330429","GSM330430","GSM330431","GSM330432","GSM330433","GSM330434","GSM330435","GSM330436","GSM330437","GSM330438","GSM330439","GSM330440","GSM330441","GSM330442","GSM330443","GSM330444","GSM330445","GSM330446","GSM330447","GSM330448","GSM330449","GSM330450","GSM330451","GSM330452","GSM330453","GSM330454","GSM330455","GSM330456","GSM330457","GSM330458","GSM330459","GSM330460","GSM330461","GSM330462","GSM330463","GSM330387","GSM330388","GSM330389","GSM330390","GSM330391","GSM330392","GSM330393","GSM330394","GSM330395","GSM330396","GSM330397","GSM330398","GSM330399","GSM330400","GSM330401","GSM330402","GSM330403","GSM330404","GSM330405","GSM330406","GSM330407","GSM330408","GSM330409","GSM330410","GSM330411","GSM330412","GSM330413","GSM330414","GSM330415","GSM330416","GSM330417","GSM330418","GSM330419","GSM330420","GSM330421","GSM330422","GSM330423","GSM330424","GSM330425","GSM330426"
"COX1",0.938180565834045,0.900321900844574,0.859639942646027,0.976458132266998,0.941836833953857,0.957179248332977,0.94756531715393,0.944553971290588,0.909616231918335,0.959709405899048,0.976458132266998,0.949209332466125,0.931000590324402,0.85941356420517,0.920622110366821,0.941836833953857,0.92428332567215,0.933889031410217,0.96602863073349,0.976458132266998,0.96602863073349,0.946017920970917,0.904019296169281,0.91476720571518,0.925851106643677,0.940568089485168,0.912403643131256,0.8638436794281,0.93289864063263,0.86679470539093,0.952859103679657,0.930089235305786,0.952859103679657,0.970329821109772,0.833119809627533,0.848317921161652,0.912403643131256,0.875083446502686,0.85109269618988,0.908547520637512,0.916628956794739,0.878603100776672,0.952859103679657,0.842504918575287,0.954916179180145,0.957179248332977,0.885977029800415,0.913569390773773,0.923523008823395,0.933889031410217,0.856751322746277,0.911832094192505,0.941836833953857,0.922045826911926,0.896051108837128,0.841427385807037,0.861710369586945,0.952859103679657,0.9431631565094,0.92748761177063,0.915999293327332,0.929200828075409,0.957179248332977,0.835576057434082,0.848317921161652,0.920622110366821,0.917917490005493,0.899002969264984,0.922045826911926,0.913569390773773,0.941836833953857,0.889862775802612,0.92748761177063,0.976458132266998,0.896051108837128,0.933889031410217,1,0.940568089485168,0.952859103679657,0.937052547931671,0.933889031410217,0.94756531715393,0.911267817020416,0.970329821109772,0.93596339225769,0.9431631565094,0.916628956794739,0.93596339225769,0.941836833953857,0.954916179180145,0.93490982055664,0.933889031410217,0.941836833953857,0.92748761177063,0.912982642650604,0.96602863073349,0.949209332466125,0.946017920970917,0.871478855609894,0.928334057331085,0.907503008842468,0.874233424663544,0.944553971290588,0.886664092540741,0.878905653953552
"COX2",0.915999293327332,0.930089235305786,0.880441069602966,0.930089235305786,0.937052547931671,0.952859103679657,0.887010753154755,0.954916179180145,0.930089235305786,0.9172682762146,0.922045826911926,0.902600109577179,0.931936502456665,0.868577361106873,0.919928908348083,0.937052547931671,0.9172682762146,0.923523008823395,0.931000590324402,0.912403643131256,0.931000590324402,0.920622110366821,0.925059080123901,0.925851106643677,0.925059080123901,0.908547520637512,0.896877527236938,0.896462678909302,0.882981896400452,0.862178862094879,0.925059080123901,0.93289864063263,0.91016012430191,0.96602863073349,0.818167865276337,0.843414068222046,0.882981896400452,0.874798834323883,0.858962953090668,0.879822254180908,0.896462678909302,0.88201642036438,0.938180565834045,0.862650454044342,0.918577015399933,0.925851106643677,0.821360528469086,0.877704381942749,0.878002524375916,0.880130887031555,0.877704381942749,0.885977029800415,0.93490982055664,0.880130887031555,0.917917490005493,0.858962953090668,0.879515171051025,0.908547520637512,0.878603100776672,0.902600109577179,0.909078776836395,0.880130887031555,0.911267817020416,0.85418301820755,0.906481325626373,0.909078776836395,0.894835293293,0.938180565834045,0.901220738887787,0.931000590324402,0.921327590942383,0.879822254180908,0.922045826911926,0.96602863073349,0.882336497306824,0.907503008842468,0.937052547931671,0.930089235305786,0.944553971290588,0.926660299301147,0.918577015399933,0.93596339225769,0.887010753154755,0.957179248332977,0.9227774143219,0.9227774143219,0.93490982055664,0.937052547931671,0.940568089485168,0.93289864063263,0.917917490005493,0.911832094192505,0.976458132266998,0.903541624546051,0.906481325626373,1,0.913569390773773,0.891722083091736,0.890229642391205,0.9227774143219,0.879209637641907,0.875083446502686,0.937052547931671,0.919247329235077,0.880130887031555
"ND4",0.895642757415771,0.896462678909302,0.869880378246307,0.915999293327332,0.908022344112396,0.937052547931671,0.903068602085114,0.931936502456665,0.900321900844574,0.91016012430191,0.9172682762146,0.912982642650604,0.899438798427582,0.870144128799438,0.918577015399933,0.925059080123901,0.91476720571518,0.910710573196411,0.91016012430191,0.913569390773773,0.918577015399933,0.921327590942383,0.903541624546051,0.904019296169281,0.905481278896332,0.89325624704361,0.888776302337646,0.875656485557556,0.901676297187805,0.868063151836395,0.913569390773773,0.920622110366821,0.906989395618439,0.962603092193604,0.852313578128815,0.856533825397491,0.904501676559448,0.885636568069458,0.864084839820862,0.875369310379028,0.901220738887787,0.885977029800415,0.909616231918335,0.878002524375916,0.91016012430191,0.929200828075409,0.855242311954498,0.885298013687134,0.885636568069458,0.893646717071533,0.876525938510895,0.890970826148987,0.912403643131256,0.889498233795166,0.92748761177063,0.8725665807724,0.870674729347229,0.93490982055664,0.888418734073639,0.887359499931335,0.904501676559448,0.876525938510895,0.9172682762146,0.86078268289566,0.890970826148987,0.889862775802612,0.885636568069458,0.912403643131256,0.898570775985718,0.909078776836395,0.905481278896332,0.900321900844574,0.89248377084732,0.962603092193604,0.879822254180908,0.894039988517761,0.94756531715393,0.912982642650604,0.929200828075409,0.895642757415771,0.890599012374878,0.916628956794739,0.878603100776672,0.916628956794739,0.908547520637512,0.91537880897522,0.898142218589783,0.931000590324402,0.919928908348083,0.926660299301147,0.904989004135132,0.889136135578156,0.93596339225769,0.901676297187805,0.893646717071533,0.962603092193604,0.911267817020416,0.873952627182007,0.880752861499786,0.908022344112396,0.87040889263153,0.875944972038269,0.909616231918335,0.89325624704361,0.8725665807724
"RPL41",0.930089235305786,0.916628956794739,0.925059080123901,0.920622110366821,0.914164185523987,0.909078776836395,0.923523008823395,0.925059080123901,0.9227774143219,0.922045826911926,0.916628956794739,0.91476720571518,0.93596339225769,0.923523008823395,0.925059080123901,0.915999293327332,0.912403643131256,0.925059080123901,0.912982642650604,0.919247329235077,0.926660299301147,0.893646717071533,0.92428332567215,0.919247329235077,0.92428332567215,0.916628956794739,0.930089235305786,0.920622110366821,0.91537880897522,0.914164185523987,0.9172682762146,0.911267817020416,0.938180565834045,0.933889031410217,0.919247329235077,0.92428332567215,0.92428332567215,0.919247329235077,0.908022344112396,0.921327590942383,0.925059080123901,0.907503008842468,0.915999293327332,0.913569390773773,0.911267817020416,0.920622110366821,0.914164185523987,0.912403643131256,0.904019296169281,0.904019296169281,0.919247329235077,0.931000590324402,0.931000590324402,0.920622110366821,0.931000590324402,0.922045826911926,0.92428332567215,0.919928908348083,0.9172682762146,0.926660299301147,0.925059080123901,0.911832094192505,0.92748761177063,0.906989395618439,0.915999293327332,0.9172682762146,0.91476720571518,0.910710573196411,0.91016012430191,0.923523008823395,0.898570775985718,0.919247329235077,0.9227774143219,0.93490982055664,0.921327590942383,0.925059080123901,0.905481278896332,0.917917490005493,0.918577015399933,0.91476720571518,0.897717237472534,0.91537880897522,0.919247329235077,0.918577015399933,0.92428332567215,0.905481278896332,0.928334057331085,0.911832094192505,0.910710573196411,0.905481278896332,0.911832094192505,0.91476720571518,0.925059080123901,0.909616231918335,0.911832094192505,0.921327590942383,0.911832094192505,0.910710573196411,0.904989004135132,0.923523008823395,0.911267817020416,0.912403643131256,0.916628956794739,0.920622110366821,0.913569390773773
"RPS2",0.919247329235077,0.899438798427582,0.909078776836395,0.902136027812958,0.901676297187805,0.915999293327332,0.919247329235077,0.89248377084732,0.923523008823395,0.909616231918335,0.895237505435944,0.896462678909302,0.923523008823395,0.911832094192505,0.917917490005493,0.891722083091736,0.901676297187805,0.919928908348083,0.911832094192505,0.901676297187805,0.917917490005493,0.894835293293,0.914164185523987,0.901676297187805,0.906481325626373,0.913569390773773,0.912982642650604,0.916628956794739,0.921327590942383,0.901220738887787,0.903541624546051,0.925851106643677,0.915999293327332,0.9227774143219,0.901676297187805,0.917917490005493,0.910710573196411,0.926660299301147,0.906989395618439,0.912403643131256,0.906989395618439,0.904989004135132,0.903068602085114,0.919247329235077,0.900321900844574,0.910710573196411,0.904019296169281,0.908022344112396,0.896462678909302,0.910710573196411,0.908547520637512,0.914164185523987,0.898570775985718,0.91537880897522,0.905978620052338,0.913569390773773,0.919928908348083,0.902600109577179,0.905481278896332,0.912403643131256,0.902600109577179,0.905481278896332,0.899002969264984,0.903541624546051,0.894835293293,0.908022344112396,0.890229642391205,0.903068602085114,0.898142218589783,0.908547520637512,0.903541624546051,0.916628956794739,0.91476720571518,0.933889031410217,0.913569390773773,0.92428332567215,0.897295653820038,0.92428332567215,0.896462678909302,0.907503008842468,0.907503008842468,0.902600109577179,0.910710573196411,0.910710573196411,0.911267817020416,0.904989004135132,0.909616231918335,0.902136027812958,0.904989004135132,0.900769293308258,0.901220738887787,0.903541624546051,0.919928908348083,0.888063490390778,0.914164185523987,0.903541624546051,0.894835293293,0.915999293327332,0.908022344112396,0.89325624704361,0.91537880897522,0.897295653820038,0.891345143318176,0.91537880897522,0.904989004135132
"RPL23A",0.926660299301147,0.92428332567215,0.917917490005493,0.905481278896332,0.922045826911926,0.907503008842468,0.908547520637512,0.900769293308258,0.920622110366821,0.900321900844574,0.903541624546051,0.887710392475128,0.922045826911926,0.925851106643677,0.912982642650604,0.91537880897522,0.917917490005493,0.916628956794739,0.908547520637512,0.900769293308258,0.915999293327332,0.900769293308258,0.925851106643677,0.921327590942383,0.913569390773773,0.912403643131256,0.9172682762146,0.919247329235077,0.908547520637512,0.91476720571518,0.904989004135132,0.908022344112396,0.904019296169281,0.915999293327332,0.899438798427582,0.89210158586502,0.906481325626373,0.915999293327332,0.902600109577179,0.918577015399933,0.914164185523987,0.911267817020416,0.91476720571518,0.899002969264984,0.909078776836395,0.906989395618439,0.909078776836395,0.906481325626373,0.907503008842468,0.905978620052338,0.896462678909302,0.907503008842468,0.903541624546051,0.9227774143219,0.900769293308258,0.879822254180908,0.911832094192505,0.894436180591583,0.906989395618439,0.916628956794739,0.909616231918335,0.883634388446808,0.912982642650604,0.905978620052338,0.914164185523987,0.918577015399933,0.919247329235077,0.913569390773773,0.915999293327332,0.925059080123901,0.912982642650604,0.915999293327332,0.919928908348083,0.912403643131256,0.925059080123901,0.93289864063263,0.896877527236938,0.92748761177063,0.912982642650604,0.920622110366821,0.905481278896332,0.913569390773773,0.918577015399933,0.903541624546051,0.909078776836395,0.897295653820038,0.919928908348083,0.907503008842468,0.902600109577179,0.897506475448608,0.919928908348083,0.904501676559448,0.913569390773773,0.912982642650604,0.909078776836395,0.899438798427582,0.888776302337646,0.896051108837128,0.92428332567215,0.907503008842468,0.92748761177063,0.913569390773773,0.912982642650604,0.902136027812958,0.916628956794739
"TPT1",0.913569390773773,0.91016012430191,0.897295653820038,0.906481325626373,0.906481325626373,0.92428332567215,0.925851106643677,0.894835293293,0.904501676559448,0.892868638038635,0.905481278896332,0.888418734073639,0.92748761177063,0.912982642650604,0.916628956794739,0.904989004135132,0.919928908348083,0.914164185523987,0.919928908348083,0.905978620052338,0.925059080123901,0.906989395618439,0.911267817020416,0.914164185523987,0.905978620052338,0.904989004135132,0.91537880897522,0.894039988517761,0.937052547931671,0.917917490005493,0.928334057331085,0.896462678909302,0.931936502456665,0.921327590942383,0.914164185523987,0.910710573196411,0.93596339225769,0.908547520637512,0.901220738887787,0.92748761177063,0.929200828075409,0.9172682762146,0.91537880897522,0.925059080123901,0.916628956794739,0.92748761177063,0.92428332567215,0.923523008823395,0.91537880897522,0.931000590324402,0.92428332567215,0.93289864063263,0.9172682762146,0.931936502456665,0.9227774143219,0.909078776836395,0.92748761177063,0.930089235305786,0.915999293327332,0.938180565834045,0.905978620052338,0.912982642650604,0.920622110366821,0.919928908348083,0.908022344112396,0.912403643131256,0.873952627182007,0.899438798427582,0.899002969264984,0.91016012430191,0.908547520637512,0.914164185523987,0.910710573196411,0.913569390773773,0.916628956794739,0.905481278896332,0.915999293327332,0.91537880897522,0.899878442287445,0.910710573196411,0.900321900844574,0.909078776836395,0.908547520637512,0.891722083091736,0.91016012430191,0.9172682762146,0.909078776836395,0.901676297187805,0.900769293308258,0.911832094192505,0.901676297187805,0.903068602085114,0.907503008842468,0.902136027812958,0.91016012430191,0.905481278896332,0.894436180591583,0.889862775802612,0.896877527236938,0.900321900844574,0.903541624546051,0.901676297187805,0.903541624546051,0.882981896400452,0.899002969264984
"RPL39",0.918577015399933,0.890970826148987,0.903541624546051,0.908022344112396,0.900769293308258,0.911267817020416,0.910710573196411,0.928334057331085,0.917917490005493,0.908547520637512,0.915999293327332,0.931936502456665,0.908547520637512,0.900769293308258,0.923523008823395,0.913569390773773,0.890599012374878,0.9227774143219,0.906481325626373,0.925059080123901,0.91476720571518,0.904989004135132,0.91537880897522,0.909616231918335,0.917917490005493,0.91016012430191,0.92748761177063,0.925059080123901,0.916628956794739,0.902136027812958,0.916628956794739,0.926660299301147,0.921327590942383,0.939350962638855,0.906989395618439,0.926660299301147,0.933889031410217,0.9172682762146,0.887359499931335,0.920622110366821,0.9227774143219,0.920622110366821,0.903541624546051,0.918577015399933,0.922045826911926,0.925059080123901,0.896462678909302,0.902136027812958,0.900321900844574,0.93596339225769,0.923523008823395,0.906481325626373,0.925851106643677,0.923523008823395,0.926660299301147,0.94756531715393,0.904989004135132,0.93289864063263,0.909616231918335,0.919247329235077,0.9227774143219,0.9227774143219,0.925851106643677,0.917917490005493,0.898142218589783,0.91016012430191,0.897295653820038,0.919928908348083,0.909078776836395,0.916628956794739,0.906989395618439,0.909078776836395,0.902600109577179,0.938180565834045,0.91476720571518,0.91016012430191,0.919247329235077,0.916628956794739,0.915999293327332,0.909616231918335,0.904989004135132,0.919247329235077,0.905481278896332,0.919247329235077,0.926660299301147,0.916628956794739,0.905978620052338,0.922045826911926,0.908547520637512,0.923523008823395,0.914164185523987,0.923523008823395,0.9227774143219,0.899438798427582,0.921327590942383,0.931000590324402,0.9172682762146,0.902136027812958,0.898570775985718,0.939350962638855,0.896051108837128,0.915999293327332,0.917917490005493,0.913569390773773,0.896051108837128
"ND2",0.903541624546051,0.906989395618439,0.848317921161652,0.908547520637512,0.908547520637512,0.922045826911926,0.892868638038635,0.913569390773773,0.908022344112396,0.875944972038269,0.919247329235077,0.861245036125183,0.908022344112396,0.843231439590454,0.908022344112396,0.92428332567215,0.921327590942383,0.918577015399933,0.907503008842468,0.885977029800415,0.913569390773773,0.906481325626373,0.902136027812958,0.901220738887787,0.910710573196411,0.879209637641907,0.909616231918335,0.876525938510895,0.889862775802612,0.845451533794403,0.905481278896332,0.92428332567215,0.885636568069458,0.957179248332977,0.813510000705719,0.828104138374329,0.878002524375916,0.860323369503021,0.854816734790802,0.86456960439682,0.868319749832153,0.868319749832153,0.900321900844574,0.851294815540314,0.879515171051025,0.926660299301147,0.820797264575958,0.881066262722015,0.8725665807724,0.86654382944107,0.8582923412323,0.874798834323883,0.906989395618439,0.878603100776672,0.887359499931335,0.847736120223999,0.84870821237564,0.884626865386963,0.854393661022186,0.877407670021057,0.914164185523987,0.858738720417023,0.905481278896332,0.846967160701752,0.869356095790863,0.902136027812958,0.884294211864471,0.906989395618439,0.889498233795166,0.922045826911926,0.91537880897522,0.848317921161652,0.903068602085114,0.952859103679657,0.896462678909302,0.899438798427582,0.930089235305786,0.921327590942383,0.917917490005493,0.899878442287445,0.888063490390778,0.914164185523987,0.882658302783966,0.930089235305786,0.910710573196411,0.886319518089294,0.888418734073639,0.918577015399933,0.921327590942383,0.900321900844574,0.902600109577179,0.896462678909302,0.940568089485168,0.894835293293,0.901220738887787,0.954916179180145,0.900769293308258,0.870674729347229,0.8725665807724,0.901676297187805,0.864813327789307,0.872292935848236,0.883307218551636,0.874798834323883,0.883634388446808
"RPS18",0.91537880897522,0.911267817020416,0.902600109577179,0.895642757415771,0.91537880897522,0.910710573196411,0.911267817020416,0.894436180591583,0.912982642650604,0.906481325626373,0.899438798427582,0.920622110366821,0.919928908348083,0.921327590942383,0.929200828075409,0.905978620052338,0.904501676559448,0.904989004135132,0.909078776836395,0.906989395618439,0.91537880897522,0.908547520637512,0.905978620052338,0.908022344112396,0.908547520637512,0.911267817020416,0.911832094192505,0.918577015399933,0.912403643131256,0.906481325626373,0.908547520637512,0.904989004135132,0.911267817020416,0.919247329235077,0.910710573196411,0.906481325626373,0.901220738887787,0.911832094192505,0.904501676559448,0.91537880897522,0.903068602085114,0.912403643131256,0.911267817020416,0.916628956794739,0.897295653820038,0.903068602085114,0.902136027812958,0.909616231918335,0.906989395618439,0.899002969264984,0.904019296169281,0.91537880897522,0.901220738887787,0.909078776836395,0.897295653820038,0.91537880897522,0.9172682762146,0.899438798427582,0.899002969264984,0.910710573196411,0.901676297187805,0.910710573196411,0.894835293293,0.907503008842468,0.900321900844574,0.91476720571518,0.91016012430191,0.909616231918335,0.909616231918335,0.918577015399933,0.909078776836395,0.91476720571518,0.9172682762146,0.901676297187805,0.908547520637512,0.91537880897522,0.899878442287445,0.91476720571518,0.906481325626373,0.908022344112396,0.905978620052338,0.904989004135132,0.921327590942383,0.91016012430191,0.905978620052338,0.912982642650604,0.904989004135132,0.908022344112396,0.912982642650604,0.896051108837128,0.902136027812958,0.905481278896332,0.911832094192505,0.91476720571518,0.904989004135132,0.908547520637512,0.902600109577179,0.913569390773773,0.921327590942383,0.906989395618439,0.919247329235077,0.910710573196411,0.900321900844574,0.925059080123901,0.9172682762146
"RPL37",0.9172682762146,0.906481325626373,0.904019296169281,0.913569390773773,0.91476720571518,0.900321900844574,0.907503008842468,0.92428332567215,0.913569390773773,0.91476720571518,0.918577015399933,0.917917490005493,0.9227774143219,0.919928908348083,0.906481325626373,0.921327590942383,0.902600109577179,0.92428332567215,0.908022344112396,0.92748761177063,0.911267817020416,0.888776302337646,0.920622110366821,0.910710573196411,0.915999293327332,0.909616231918335,0.920622110366821,0.905481278896332,0.9172682762146,0.912982642650604,0.901220738887787,0.922045826911926,0.9172682762146,0.923523008823395,0.91016012430191,0.913569390773773,0.903068602085114,0.912403643131256,0.897295653820038,0.931000590324402,0.922045826911926,0.906481325626373,0.921327590942383,0.911832094192505,0.906989395618439,0.919928908348083,0.913569390773773,0.895642757415771,0.930089235305786,0.916628956794739,0.91476720571518,0.913569390773773,0.926660299301147,0.925059080123901,0.907503008842468,0.910710573196411,0.91016012430191,0.91537880897522,0.917917490005493,0.925851106643677,0.921327590942383,0.909078776836395,0.923523008823395,0.920622110366821,0.921327590942383,0.912982642650604,0.898142218589783,0.920622110366821,0.931936502456665,0.92428332567215,0.910710573196411,0.92428332567215,0.91537880897522,0.912982642650604,0.919928908348083,0.925851106643677,0.902600109577179,0.925851106643677,0.919247329235077,0.919928908348083,0.911267817020416,0.92428332567215,0.912403643131256,0.917917490005493,0.925851106643677,0.894436180591583,0.9227774143219,0.921327590942383,0.906481325626373,0.906989395618439,0.921327590942383,0.922045826911926,0.908022344112396,0.907503008842468,0.917917490005493,0.92428332567215,0.904501676559448,0.911832094192505,0.910710573196411,0.919928908348083,0.895642757415771,0.931000590324402,0.919247329235077,0.9172682762146,0.909078776836395
