"","x"
"XIST",0
"RPS4Y1",0
"STAB1",0.187222284494074
"AREG",0
"S100A12",0.096097159834213
"CTSG",0.086066122429144
"HBD",0
"IGFBP2",0.0429884877731533
"CD52",0.147489798180808
"CTSW",0.152165383353017
"CCNA1",0.123127665205407
"CXCL8",0
"TRH",0
"C1QTNF4",0.0821609923299348
"MS4A6A",0.198001070084672
"S100A9",0.104850655970603
"CA1",0
"HLA-DRA",0.154918475622333
"CLC",0
"CD9",0.0455233627156133
"G0S2",0.013156240281476
"DUSP6",0.0981468036251064
"GPR27",0
"KLF4",0.0589148798422186
"DPYSL2",0
"SLC4A1",0
"HLA-DPB1",0.15330603996973
"CA2",0
"TPSAB1",0
"S100A8",0.0234764839137459
"SKAP2",0.124467118056096
"TPSB2",0
"IER3",0.0226149299127644
"ANXA5",0.0631818102772387
"MAFF",0
"CRNDE",0.0663652996635753
"IGLC1",0
"AHR",0.0760512731877204
"GPR183",0.069887778157366
"CAPG",0.158673909912694
"CRIP1",0
"IGLL1",0
"HLA-DPA1",0.123878801232743
"ITGB2",0.0620027390359285
"APP",0
"NCF2",0.0659898327965294
"CPA3",0.0280963355513862
"SAMHD1",0.0244662277690156
"C1orf228",0.0864878437512381
"HBB",0
"NRIP1",0.140095534131504
"PTX3",0
"BCL2A1",0.0259480194233852
"RAB31",0
"GOLGA8A",0.0227713383322645
"SGK1",0.00371270129887732
"BASP1",0
"EMP1",0
"BEX4",0
"RGS1",0
"LYZ",0
"PRG2",0
"FAM46C",0
"ITGA9",0.0402540249308904
"NR4A2",0
"NAMPT",0
"HLA-DMA",0.182682496348033
"CTSS",0.164428196977778
"FGR",0.12086544650835
"PRTN3",0
"MS4A3",0
"CD34",0.0650346840081604
"CXCL2",0
"SELL",0.0403720069767535
"ATF3",0
"SERPING1",0.127811536083889
"ALOX5AP",0.0605129909586885
"S100A11",0.0855569914662751
"S100A10",0
"HCAR3",0
"PRDX4",0.133304832487429
"SERPINB9",0.0119213007195029
"RNASE3",0.0105725960638087
"CST3",0.0883745664661742
"CYTL1",0
"LST1",0.141613630452146
"PELI1",0
"CD83",0
"VIM",0
"SLC38A1",0.0154161753297451
"IL1B",0
"F13A1",0
"LAT2",0.103282026815152
"CST7",0.0399918576990321
"FCER1G",0.108498175394083
"MXRA7",0.0750724165405426
"ALCAM",0.0932012742817103
"MTSS1",0
"HBEGF",0.00429878426293177
"IL10RA",0.0868546874593677
"PLAUR",0
"MAN1A1",0.00633500553167827
"VEGFA",0
"CLEC5A",0
"FCN1",0
"TRBV27",0
"IRF8",0.153141417069914
"COTL1",0.0788987655427099
"DEPTOR",0
"RGS10",0.0979895281361938
"CD96",0.046815483579541
"SPARC",0
"CD74",0.0483218062574654
"BTG3",0
"RHOB",0
"IL17RA",0.0687542037645828
"ZFP36L1",0
"MSRB3",0
"MNDA",0
"SERPINA1",0
"TNFAIP3",0
"LGALS3",0.031647698303119
"DUSP2",0
"EGR1",0
"TREM1",0
"SLC25A37",0
"CD3D",0.0393440290796791
"LGALS1",0
"DPYD",0.0193379168906452
"CSTA",0
"JUN",0
"GTSF1",0
"HLA-DMB",0.149273528847965
"S100P",0
"CYBB",0.0287525688094157
"RNASE2",0.064894774226048
"FKBP5",0
"PRAM1",0.0937767653267553
"LY86",0.0664074801764645
"GRN",0.116154381258878
"ITGAM",0
"DCAF12",0
"ID2",0
"MSRB1",0
"LRRFIP1",0
"GLIPR2",0.129134006342172
"NFE2",0
"BCAT1",0
"CDKN1C",0.0202279857108681
"FOSB",0
"ALDH2",0.143684217321504
"ZFP36L2",0
"DUSP1",0
"JUND",0
"FOSL2",0
"TNFSF13",0.126296776978706
"HIST1H1C",0
"SERPINB6",0.156032536627106
"KLF2",0
"SLC7A5",0.0453911785974541
"TSC22D1",0
"CTSH",0
"SPTLC2",0
"C1orf162",0.0961547603631344
"LMNA",0
"LPAR6",0
"CFP",0.0535905840014103
"PTGER2",0.0455198330988594
"ANKRD28",0
"ANPEP",0
"KIT",0
"MCL1",0
"TOB1",0
"LINC00936",0
"OAT",0
"GLIPR1",0
"CYTIP",0.000246503214196126
"PRDX2",0
"PDLIM1",0
"IVNS1ABP",0.107289611026848
"CD44",0
"ARRDC3",0
"CD33",0.0694375884789364
"FNDC3B",0.00610068117415554
"ITM2A",0
"AP1S2",0.101781740824102
"PFKFB3",0
"NFIL3",0.021508252564656
"CPNE3",0
"RNF145",0.0607830416692643
"RGS2",0
"PRF1",0
"GCH1",0
"DDIT4",0
"CSF1R",0.000165744508390984
"S100A6",0
"SCPEP1",0.0836728394919966
"IGLL3P",0
"MYC",0
"C21orf91",0
"AZU1",0
"TPM3",0
"SLC2A3",0
"ACSL1",0
"BCL11A",0
"IGFBP7",0
"EZR",0
"CALR",0
"CASP1",0.0554853205412309
"MEST",0
"SORL1",0
"CEBPA",0.0634613944336198
"CD300LF",0.0100753633462677
"TSC22D3",0
"PPA1",0.0286734123436298
"NDFIP1",0
"MT1X",0
"PECAM1",0.042267670282609
"ELF4",0
"RAB11FIP1",0
"RAB37",0.107693466816605
"ATP8B4",0
"TSPAN13",0
"XAF1",0
"STK17B",0
"ELANE",0
"P4HB",0
"YOD1",0
"FAM101B",0.109559537852931
"ETS2",0.0202749147352514
"PCMTD1",0
"SRGN",0
"H1F0",0
"ACTN1",0.0742143427921878
"CCL5",0
"HLA-DRB6",0.0840926642182016
"CHST11",0.0457726078626984
"GADD45B",0
"P2RX5",0
"BRI3BP",0
"RIPK2",0
"EGFL7",0.0152768508046841
"TAGAP",0
"ZNF451",0
"CAST",0
"SPRY2",0
"OTUD1",0
"C3AR1",0
"CD81",0
"JMJD1C",0
"RRM2",0
"MAGED1",0
"MAP3K8",0
"KRCC1",0
"SOX4",0
"PRNP",0
"PGM1",0
"THEMIS2",0.0358173939854438
"RNF103",0
"GATA2",0
"MT1H",0
"ADD3",0.0421956548391635
"RASSF5",0
"CD69",0
"SPIN4",0.00208429913601611
"LITAF",0
"MLC1",0.0337034654378093
"BLVRB",0
"LY6E",0
"CDKN1A",0
"IDH1",0
"KLF6",0
"MYO1G",0
"ORAI1",0.136165920450695
"CDK6",0
"NUCB2",0.062739835743601
"CAPN2",0
"KCNE3",0
"DDX17",0
"TIPARP",0
"KLF11",0
"SLA",0
"QKI",0
"MGAT2",0
"ARRB2",0.0113983782863957
"PLXNB2",0.0486627742157395
"HIST2H2BE",0
"ZFAND6",0
"BTG1",0
"HIST1H2BD",0
"PPP1R15A",0
"NFKBIZ",0
"SERPINB1",0
"RIOK3",0
"ZBTB8A",0
"AAED1",0
"MALAT1",0
"ANXA2",0
"LINC01578",0
"RAC2",0
"MT1HL1",0
"GNG2",0
"AKAP13",0
"ANXA4",0
"FOS",0
"FTX",0
"EPC1",0
"GADD45A",0
"SAP30",0
"UHRF1",0
"TYMS",0
"FYN",0
"HIST1H2AC",0
"GCA",0
"PKM",0
"NKG7",0
"TP53INP1",0
"APBB1IP",0
"P2RY8",0
"EIF5A",0
"TM7SF3",0
"TNFSF13B",0
"LOC100505501",0
"FGD2",0.101218171865136
"LCP1",0.0760506286842284
"PMAIP1",0
"TAGLN2",0
"RUNX1-IT1",0
"GYPC",0
"IDS",0
"GIMAP2",0
"SSBP2",0
"SMIM24",0
"VCL",0.0949975272166972
"TGFB1",0
"ATP2B1",0
"TOMM5",0
"NCOA7",0
"MT2A",0
"CSRNP1",0
"GNA13",0
"TMC8",0.0455685688380437
"JDP2",0
"SLC20A1",0
"CTNNB1",0
"LYN",0
"NFKBIA",0
"CDC42SE2",0
"PLP2",0.05296885050105
"UCP2",0
"FTH1",0
"SNX18",0
"BTG2",0
"IQGAP2",0
"SMIM3",0
"BCL10",0
"RCSD1",0
"CDKN2C",0
"GUSBP11",0
"CAT",0
"GFI1",0
"SLC25A39",0
"LINC-PINT",0
"CSF2RB",0
"ITGA4",0
"TIMP2",0
"LY75",0
"SLC25A24",0
"TRIM14",0
"CECR1",0
"CTSB",0.0947700104999091
"NET1",0
"RB1",0
"MYLIP",0
"TYROBP",0.0653591833020364
"ANKRD27",0.0966447565948642
"ANXA2P2",0
"KLF10",0
"GSTM2",0
"FSCN1",0
"N4BP2L1",0
"UBE2D3",0
"RCBTB1",0.00580072548173064
"TRA2A",0
"FLT3",0
"UGCG",0
"MYO1F",0.0332861393190904
"ADA",0
"LAPTM5",0
"PMS2P5",0
"CD37",0
"ETV6",0
"SERINC5",0
"MARCKSL1",0
"IQGAP1",0
"FASTKD1",0
"TNFAIP8",0
"CSNK1E",0
"IFITM1",0
"CBX5",0
"SESN1",0
"UBE2E2",0
"HSP90AB1",0
"IRF1",0
"SLC35A1",0
