"","x"
"GSM330464",1
"GSM330465",2
"GSM330466",1
"GSM330467",1
"GSM330468",1
"GSM330469",1
"GSM330470",1
"GSM330471",1
"GSM330472",1
"GSM330473",1
"GSM330474",1
"GSM330475",1
"GSM330476",1
"GSM330477",1
"GSM330478",1
"GSM330479",1
"GSM330480",1
"GSM330481",1
"GSM330482",1
"GSM330483",1
"GSM330484",1
"GSM330485",1
"GSM330486",1
"GSM330487",1
"GSM330488",1
"GSM330489",1
"GSM330490",1
"GSM330491",1
"GSM330427",3
"GSM330428",3
"GSM330429",3
"GSM330430",1
"GSM330431",3
"GSM330432",3
"GSM330433",3
"GSM330434",3
"GSM330435",3
"GSM330436",3
"GSM330437",3
"GSM330438",3
"GSM330439",3
"GSM330440",3
"GSM330441",3
"GSM330442",3
"GSM330443",1
"GSM330444",3
"GSM330445",3
"GSM330446",3
"GSM330447",3
"GSM330448",3
"GSM330449",3
"GSM330450",3
"GSM330451",3
"GSM330452",3
"GSM330453",3
"GSM330454",3
"GSM330455",3
"GSM330456",3
"GSM330457",3
"GSM330458",3
"GSM330459",3
"GSM330460",3
"GSM330461",3
"GSM330462",3
"GSM330463",3
"GSM330387",2
"GSM330388",2
"GSM330389",2
"GSM330390",2
"GSM330391",2
"GSM330392",2
"GSM330393",2
"GSM330394",2
"GSM330395",1
"GSM330396",1
"GSM330397",1
"GSM330398",1
"GSM330399",1
"GSM330400",2
"GSM330401",1
"GSM330402",2
"GSM330403",1
"GSM330404",2
"GSM330405",2
"GSM330406",1
"GSM330407",1
"GSM330408",2
"GSM330409",1
"GSM330410",1
"GSM330411",1
"GSM330412",2
"GSM330413",2
"GSM330414",2
"GSM330415",2
"GSM330416",1
"GSM330417",2
"GSM330418",1
"GSM330419",2
"GSM330420",2
"GSM330421",2
"GSM330422",2
"GSM330423",2
"GSM330424",2
"GSM330425",2
"GSM330426",2
